###一聲 ###
ㄓˉ	zhi1
ㄔˉ	chi1
ㄕˉ	shi1
#ㄖˉ	ri1
ㄗˉ	zi1
ㄘˉ	ci1
ㄙˉ	si1
ㄧˉ	yi1
ㄨˉ	wu1
ㄩˉ	yu1
ㄚˉ	a1
ㄛˉ	o1
ㄜˉ	e1
ㄝˉ	eh1
ㄞˉ	ai1
ㄟˉ	ei1
ㄠˉ	ao1
ㄡˉ	ou1
ㄢˉ	an1
ㄣˉ	en1
ㄤˉ	ang1
ㄥˉ	eng1
ㄦˉ	er1
ㄅㄚˉ	ba1
ㄅㄛˉ	bo1
ㄅㄞˉ	bai1
ㄅㄟˉ	bei1
ㄅㄠˉ	bao1
ㄅㄢˉ	ban1
ㄅㄣˉ	ben1
ㄅㄤˉ	bang1
ㄅㄥˉ	beng1
ㄅㄧˉ	bi1
ㄅㄧㄝˉ	bie1
ㄅㄧㄠˉ	biao1
ㄅㄧㄢˉ	bian1
ㄅㄧㄣˉ	bin1
ㄅㄧㄥˉ	bing1
ㄅㄨˉ	bu1
ㄆㄚˉ	pa1
ㄆㄛˉ	po1
ㄆㄞˉ	pai1
ㄆㄟˉ	pei1
ㄆㄠˉ	pao1
ㄆㄡˉ	pou1
ㄆㄢˉ	pan1
ㄆㄣˉ	pen1
ㄆㄤˉ	pang1
ㄆㄥˉ	peng1
ㄆㄧˉ	pi1
ㄆㄧㄝˉ	pie1
ㄆㄧㄚˉ	pia1
ㄆㄧㄠˉ	piao1
ㄆㄧㄢˉ	pian1
ㄆㄧㄣˉ	pin1
ㄆㄧㄥˉ	ping1
ㄆㄨˉ	pu1
ㄆㄨㄛˉ	puo1
ㄇㄚˉ	ma1
ㄇㄛˉ	mo1
ㄇㄜˉ	me1
#ㄇㄞˉ	mai1
#ㄇㄟˉ	mei1
ㄇㄠˉ	mao1
ㄇㄡˉ	mou1
ㄇㄢˉ	man1
ㄇㄣˉ	men1
ㄇㄤˉ	mang1
ㄇㄥˉ	meng1
ㄇㄧˉ	mi1
ㄇㄧㄝˉ	mie1
ㄇㄧㄠˉ	miao1
#ㄇㄧㄡˉ	miu1
#ㄇㄧㄢˉ	mian1
#ㄇㄧㄣˉ	min1
#ㄇㄧㄥˉ	ming1
#ㄇㄨˉ	mu1
ㄈㄚˉ	fa1
#ㄈㄛˉ	fo1
ㄈㄟˉ	fei1
ㄈㄡˉ	fou1
ㄈㄢˉ	fan1
ㄈㄣˉ	fen1
ㄈㄤˉ	fang1
ㄈㄥˉ	feng1
ㄈㄨˉ	fu1
ㄉㄚˉ	da1
ㄉㄜˉ	de1
ㄉㄞˉ	dai1
ㄉㄟˉ	dei1
ㄉㄠˉ	dao1
ㄉㄡˉ	dou1
ㄉㄢˉ	dan1
#ㄉㄣˉ	den1
ㄉㄤˉ	dang1
ㄉㄥˉ	deng1
ㄉㄧˉ	di1
ㄉㄧㄝˉ	die1
ㄉㄧㄠˉ	diao1
ㄉㄧㄡˉ	diu1
ㄉㄧㄢˉ	dian1
ㄉㄧㄤˉ	diang1
ㄉㄧㄥˉ	ding1
ㄉㄧㄚˉ	dia1
ㄉㄨˉ	du1
ㄉㄨㄛˉ	duo1
ㄉㄨㄟˉ	dui1
ㄉㄨㄢˉ	duan1
ㄉㄨㄣˉ	dun1
ㄉㄨㄥˉ	dong1
ㄊㄚˉ	ta1
#ㄊㄜˉ	te1
ㄊㄟˉ	tei1
ㄊㄞˉ	tai1
ㄊㄠˉ	tao1
ㄊㄡˉ	tou1
ㄊㄢˉ	tan1
ㄊㄤˉ	tang1
ㄊㄥˉ	teng1
ㄊㄧˉ	ti1
ㄊㄧㄝˉ	tie1
ㄊㄧㄠˉ	tiao1
ㄊㄧㄢˉ	tian1
ㄊㄧㄥˉ	ting1
ㄊㄧㄣˉ	tin1
ㄊㄨˉ	tu1
ㄊㄨㄛˉ	tuo1
ㄊㄨㄟˉ	tui1
ㄊㄨㄢˉ	tuan1
ㄊㄨㄣˉ	tun1
ㄊㄨㄥˉ	tong1
